UniProtKB:Q96CK0	ZNF653
UniProtKB:Q5XLA6	CARD17
UniProtKB:P00352	ALDH1A1
UniProtKB:P20815	CYP3A5
UniProtKB:Q96EI5	TCEAL4
UniProtKB:P27544	CERS1
UniProtKB:Q9Y6X8	ZHX2
UniProtKB:P20810	CAST
UniProtKB:P27540	ARNT
UniProtKB:Q9UEW3	MARCO
UniProtKB:Q9Y6X1	SERP1
UniProtKB:P42574	CASP3
UniProtKB:Q9UEW8	STK39
UniProtKB:Q9UH73	EBF1
UniProtKB:Q16288	NTRK3
UniProtKB:P62995	TRA2B
UniProtKB:P20809	IL11
UniProtKB:P62993	GRB2
UniProtKB:P20807	CAPN3
UniProtKB:O14957	UQCR11
UniProtKB:Q96EH3	MALSU1
UniProtKB:C9J202	ALG1L2
UniProtKB:P20800	EDN2
UniProtKB:Q9Y6W3	CAPN7
UniProtKB:P20908	COL5A1
UniProtKB:P00338	LDHA
UniProtKB:P62987	UBA52
UniProtKB:Q9UGU0	TCF20
UniProtKB:U3KPZ7	U3KPZ7
UniProtKB:Q9Y4Z0	LSM4
UniProtKB:Q16270	IGFBP7
UniProtKB:Q96EG3	ZNF837
UniProtKB:Q9Y6V7	DDX49
UniProtKB:Q96EG1	ARSG
UniProtKB:O43809	NUDT21
UniProtKB:P00326	ADH1C
UniProtKB:P62979	RPS27A
UniProtKB:Q96EF0	MTMR8
UniProtKB:Q5VTL8	PRPF38B
UniProtKB:Q16254	E2F4
UniProtKB:Q04864	REL
UniProtKB:Q96EE4	CCDC126
UniProtKB:O43823	AKAP8
UniProtKB:P20933	AGA
UniProtKB:Q9UGR2	ZC3H7B
UniProtKB:Q9Y6S9	RPS6KL1
UniProtKB:Q52LJ0	FAM98B
UniProtKB:Q6VVX0	CYP2R1
UniProtKB:Q16143	SNCB
UniProtKB:Q685J3	MUC17
UniProtKB:P62945	RPL41
UniProtKB:P0DI82	TRAPPC2B
UniProtKB:P62942	FKBP1A
UniProtKB:Q9Y6R6	ZNF780B
UniProtKB:Q0VGE8	ZNF816
UniProtKB:Q8NG08	HELB
UniProtKB:Q9Y6R0	NUMBL
UniProtKB:Q9UGP8	SEC63
UniProtKB:Q9UGP5	POLL
UniProtKB:P24588	AKAP5
UniProtKB:P62937	PPIA
UniProtKB:Q9Y613	FHOD1
UniProtKB:Q04837	SSBP1
UniProtKB:Q16222	UAP1
UniProtKB:O43852	CALU
UniProtKB:Q9Y5P6	GMPPB
UniProtKB:Q96EB1	ELP4
UniProtKB:Q9Y617	PSAT1
UniProtKB:Q9Y6Q3	ZFP37
UniProtKB:Q9Y5P8	PPP2R3B
UniProtKB:Q96CS3	FAF2
UniProtKB:Q96CS4	ZNF689
UniProtKB:Q04828	AKR1C1
UniProtKB:Q70Z35	PREX2
